PANI Dose (wt%),Response,Concentration,Temperature (°C)
0.0,0.49963209507789,30ppm,49.963209507789
0.06015037593984962,2.5442712225107122,30ppm,96.05714451279329
0.12030075187969924,3.085021428186771,30ppm,78.5595153449124
0.18045112781954886,0.9790391366550601,30ppm,67.89267873576293
0.24060150375939848,0.3248149123539492,30ppm,32.48149123539492
0.3007518796992481,0.32479561626896214,30ppm,32.47956162689621
0.3609022556390977,1.8208360176624072,30ppm,24.64668897345596
0.42105263157894735,0.8929409166199481,30ppm,89.29409166199481
0.48120300751879697,1.1944133209137435,30ppm,68.0892009394567
0.5413533834586466,1.871073018856436,30ppm,76.64580622368364
0.6015037593984962,0.21646759543664196,30ppm,21.646759543664196
0.6616541353383458,3.064843646613191,30ppm,97.59278817295954
0.7218045112781954,2.642628394762005,30ppm,86.59541126403374
0.7819548872180451,3.5523495288949807,30ppm,36.987128854262096
0.8421052631578947,2.3900787643602945,30ppm,34.54599737656805
0.9022556390977443,0.739217430963325,30ppm,34.6723607882747
0.9624060150375939,2.4173718778332125,30ppm,44.33937943676302
1.0225563909774436,3.141661405287812,30ppm,61.98051453057903
1.0827067669172932,3.2090949794149783,30ppm,54.55560149136926
1.1428571428571428,1.3704268785534115,30ppm,43.298331215843355
1.2030075187969924,1.5976558916179169,30ppm,68.94823157779035
1.263157894736842,1.066694811517885,30ppm,31.15950885216335
1.3233082706766917,4.023410118982079,30ppm,43.37157188281745
1.3834586466165413,3.1911562684018038,30ppm,49.308947463495336
1.443609022556391,1.9090508969995044,30ppm,56.48559873736288
1.5037593984962405,3.2109688056158916,30ppm,82.81407691144109
1.5639097744360901,2.581916373979799,30ppm,35.97390257266878
1.6240601503759398,2.0748963073291162,30ppm,61.13875507308893
1.6842105263157894,3.2364313885199207,30ppm,67.39316550896339
1.744360902255639,3.0443969712798955,30ppm,23.71603301759982
1.8045112781954886,5.324055893466283,30ppm,68.60358815211507
1.8646616541353382,2.4777242543865676,30ppm,33.64192989498332
1.9248120300751879,1.4298599953056672,30ppm,25.20412743882236
1.9849624060150375,2.8875983034692454,30ppm,95.91084298026666
2.045112781954887,3.147527375959756,30ppm,97.25056264596475
2.1052631578947367,3.5776854393023787,30ppm,84.67178784931689
2.1654135338345863,2.6453075869634337,30ppm,44.36910153386965
2.225563909774436,4.4386055616857005,30ppm,27.81376912051071
2.2857142857142856,3.059925086771674,30ppm,74.73864212097254
2.345864661654135,4.090936955772115,30ppm,55.21219949916811
2.406015037593985,5.906845327788975,30ppm,29.763058787582306
2.4661654135338344,4.848957920153391,30ppm,59.614152808901615
2.526315789473684,4.46774151281506,30ppm,22.75108168921747
2.5864661654135337,6.664471770528486,30ppm,92.74563216630257
2.6466165413533833,5.622598361547062,30ppm,40.70239852800135
2.706766917293233,5.355292570775639,30ppm,73.00178274831856
2.7669172932330826,4.289017950776684,30ppm,44.93688608715288
2.827067669172932,4.833967045911854,30ppm,61.605441694224865
2.887218045112782,4.89689142347759,30ppm,63.73682234746237
2.9473684210526314,4.3675106484272606,30ppm,34.788356442042165
3.007518796992481,5.698982409583293,30ppm,97.56677022116469
3.0676691729323307,5.772357715135044,30ppm,82.01062586888916
3.1278195488721803,4.398700009401396,30ppm,95.15991532513513
3.18796992481203,7.329859267522462,30ppm,91.5861880342119
3.2481203007518795,5.96029794724997,30ppm,67.83199830488681
3.308270676691729,5.63712244110547,30ppm,93.74993880184934
3.3684210526315788,5.544601559318361,30ppm,27.07940016415356
3.4285714285714284,6.430012323951059,30ppm,35.67862899353162
